record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count
1,Motley Fool Australia,James Mickleboro,"Why EOS, Humm, New Hope, and Sims shares are storming higher today","These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",https://www.fool.com.au/2026/03/18/why-eos-humm-new-hope-and-sims-shares-are-storming-higher-today/,2026-03-18T02:40:46Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",unknown,,181,66,1.81,"These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",news_api,181.0,,,unknown,1.81,1.0
11,Thechronicle.com.gh,JENNIFER AMBOLLEY,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",https://thechronicle.com.gh/ghanas-mining-investment-ranking-tumbles-jinapor-expresses-concern/,2026-03-18T02:12:35Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",unknown,,260,68,2.6,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",news_api,260.0,,,unknown,2.6,1.0
21,The Times of India,TOI Education,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here","The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",https://timesofindia.indiatimes.com/education/news/gate-2026-final-answer-key-not-released-yet-results-likely-to-be-out-tomorrow-check-details-here/articleshow/129645610.cms,2026-03-18T02:31:14Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",unknown,,260,98,2.6,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",news_api,260.0,,,unknown,2.6,1.0
31,Paul Tan's Automotive News,Gerard Lye,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",https://paultan.org/2026/03/18/tesla-gets-sued-for-fsd-crash-in-texas/,2026-03-18T02:50:13Z,,,,json,news_page_1.json,,2026-04-01 02:10:52.965282,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",unknown,,260,102,2.6,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",json,260.0,,,unknown,2.6,1.0
41,BusinessLine,KS Badri Narayanan,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday","Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",https://www.thehindubusinessline.com/markets/17-stocks-including-tata-steel-sbi-varun-beverages-shree-cement-wipro-ceigall-nhpc-paisalo-strides-pharma-will-remain-in-focus-on-wednesday/article70756561.ece,2026-03-18T02:15:03Z,,,,json,news_page_3.json,,2026-04-01 02:10:53.011149,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",unknown,,125,147,1.25,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",json,125.0,,,unknown,1.25,1.0
51,data/raw/word/news_two_column.docx,,Untitled record,,,,,,,word_two_column,news_two_column.docx,,2026-04-01 02:10:53.187288,python-docx,"News Monitoring Brief —
Two Column Sample

Two-column layout for extraction testing with pdfplumber crop strategy

This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews.

Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction.

A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column.

Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites.

In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline.

Bordered table — source coverage snapshot

Borderless table — trending keyword snapshot

Store extracted text with metadata such as file name, page number, source path, extraction date, and library used. This helps version and audit ingestion results inside the pipeline.","[[['Source', 'Hits'], ['BBC', '12'], ['CNN', '8'], ['AP', '6'], ['Reuters', '10']], [['Keyword', 'Count'], ['election', '18'], ['markets', '21'], ['AI', '26'], ['sports', '16']]]",,word_two_column,,,,,,,,,,,,,,,,,,,,,,,,,,,,"News Monitoring Brief —
Two Column Sample

Two-column layout for extraction testing with pdfplumber crop strategy

This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews.

Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction.

A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column.

Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites.

In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline.

Bordered table — source coverage snapshot

Borderless table — trending keyword snapshot

Store extracted text with metadata such as file name, page number, source path, extraction date, and library used. This helps version and audit ingestion results inside the pipeline.",unknown,,1877,15,10.0,"News Monitoring Brief —
Two Column Sample

Two-column layout for extraction testing with pdfplumber crop strategy

This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews.

Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction.

A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column.

Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites.

In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline.

Bordered table — source coverage snapshot

Borderless table — trending keyword snapshot

Store extracted text with metadata such as file name, page number, source path, extraction date, and library used. This helps version and audit ingestion results inside the pipeline.",word_two_column,1877.0,,,unknown,10.0,1.0
61,Al Jazeera,,Inflation Briefing,,,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221659,openpyxl,,,10.0,Business,2026-03-25,22.0,0.2,Articles,,,,,,,,,,,,,,,,,,,,,,,,Inflation Briefing,unknown,2026.0,18,18,2.0,Inflation Briefing,Business,22.0,2026-03-25,2026.0,unknown,2.0,22.0
71,The Times of India,Reuters,Trump administration defends Anthropic blacklisting in US court,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",https://economictimes.indiatimes.com/tech/tech-bytes/trump-administration-defends-anthropic-blacklisting-in-us-court/articleshow/129645468.cms,2026-03-18T02:16:55Z,,,,json,news_page_2.json,,2026-04-01 02:14:43.364361,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",unknown,,260,63,2.6,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",json,260.0,,,unknown,2.6,1.0
81,data/raw/pdf/news_two_column.pdf,,Untitled record,,,,,,,pdf_two_column,news_two_column.pdf,2.0,2026-04-01 02:14:43.471760,pdfplumber,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps","[[['Source', 'Hits'], ['BBC', '12'], ['CNN', '8'], ['AP', '6'], ['Reuters', '10']], [['Keyword', 'Count']]]",,pdf_two_column,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps",unknown,,360,15,3.6,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps",pdf_two_column,360.0,,,unknown,3.6,1.0
91,Financial Times,,Streaming Rights Watch,,,,,,,excel,news_data.xlsx,,2026-04-01 02:14:43.534301,openpyxl,,,8.0,Business,2026-03-24,26.0,0.4,Articles,,,,,,,,,,,,,,,,,,,,,,,,Streaming Rights Watch,unknown,2026.0,22,22,4.0,Streaming Rights Watch,Business,26.0,2026-03-24,2026.0,unknown,4.0,26.0
