record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count
1,Motley Fool Australia,James Mickleboro,"Why EOS, Humm, New Hope, and Sims shares are storming higher today","These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",https://www.fool.com.au/2026/03/18/why-eos-humm-new-hope-and-sims-shares-are-storming-higher-today/,2026-03-18T02:40:46Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",unknown,,181,66,1.81,"These shares are having a good session on hump day. But why?
The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",news_api,181.0,,,unknown,1.81,1.0
21,The Times of India,TOI Education,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here","The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",https://timesofindia.indiatimes.com/education/news/gate-2026-final-answer-key-not-released-yet-results-likely-to-be-out-tomorrow-check-details-here/articleshow/129645610.cms,2026-03-18T02:31:14Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",unknown,,260,98,2.6,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",news_api,260.0,,,unknown,2.6,1.0
41,BusinessLine,KS Badri Narayanan,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday","Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",https://www.thehindubusinessline.com/markets/17-stocks-including-tata-steel-sbi-varun-beverages-shree-cement-wipro-ceigall-nhpc-paisalo-strides-pharma-will-remain-in-focus-on-wednesday/article70756561.ece,2026-03-18T02:15:03Z,,,,json,news_page_3.json,,2026-04-01 02:10:53.011149,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",unknown,,125,147,1.25,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",json,125.0,,,unknown,1.25,1.0
61,Al Jazeera,,Inflation Briefing,,,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221659,openpyxl,,,10.0,Business,2026-03-25,22.0,0.2,Articles,,,,,,,,,,,,,,,,,,,,,,,,Inflation Briefing,unknown,2026.0,18,18,2.0,Inflation Briefing,Business,22.0,2026-03-25,2026.0,unknown,2.0,22.0
81,data/raw/pdf/news_two_column.pdf,,Untitled record,,,,,,,pdf_two_column,news_two_column.pdf,2.0,2026-04-01 02:14:43.471760,pdfplumber,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps","[[['Source', 'Hits'], ['BBC', '12'], ['CNN', '8'], ['AP', '6'], ['Reuters', '10']], [['Keyword', 'Count']]]",,pdf_two_column,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps",unknown,,360,15,3.6,"Bordered table — source coverage snaps
Source Hits
BBC 12
CNN 8
AP 6
Reuters 10
Borderless table — trending keyword sn
Keyword Count
election 18
markets 21
AI 26
sports 16
Store extracted text with metadata such as file name, page n
version and audit ingestion results inside the pipeline.

t
shot
er, source path, extraction date, and library used. This helps",pdf_two_column,360.0,,,unknown,3.6,1.0
101,Financial Post,Business Wire,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",https://financialpost.com/pmn/business-wire-news-releases-pmn/ltm-named-nvidia-partner-network-rising-star-consulting-partner-of-the-year-at-nvidia-gtc-2026,2026-03-18T02:30:15Z,news_page_2.json,2026-04-01 02:26:18.673,1.0,json,news_page_2.json,,,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",unknown,,260,96,2.6,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",json,260.0,,,unknown,2.6,1.0
121,unknown,,Untitled record,,,,data/raw/word/news_normal.docx,2026-04-01 02:26:18.851,1.0,word_run,news_normal.docx,,,python-docx,Table with borders — sample source coverage,,,word_run,,,,,,,,,,,,,7.0,1.0,True,,,,,,,,,,,,,Table with borders — sample source coverage,unknown,,43,15,0.4299999999999999,Table with borders — sample source coverage,word_run,43.0,,,unknown,0.4299999999999999,1.0
141,Growag.com,Casey Dunn,Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",https://www.growag.com/article/soil-health-foundation-every-productive-farm,2026-03-31T02:14:38Z,news_page_2.json,2026-04-01 02:31:18.174,1.0,json,news_page_2.json,,,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",unknown,,135,58,1.35,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",json,135.0,,,unknown,1.35,1.0
161,unknown,,Untitled record,,,,data/raw/word/news_normal.docx,2026-04-01 02:31:18.320,1.0,word_run,news_normal.docx,,,python-docx,Table with borders — sample source coverage,,,word_run,,,,,,,,,,,,,7.0,1.0,True,,,,,,,,,,,,,Table with borders — sample source coverage,unknown,,43,15,0.4299999999999999,Table with borders — sample source coverage,word_run,43.0,,,unknown,0.4299999999999999,1.0
181,GlobeNewswire,RAKIA,"RAKIA Achieves CMMC Level 1 Compliance, Expanding Access to U.S. Defense Contracts and Accelerating Federal Growth Strategy",CMMS opens new opportunities in U.S. defense contracts and accelerates federal expansion....,https://www.globenewswire.com/news-release/2026/04/04/3268218/0/en/RAKIA-Achieves-CMMC-Level-1-Compliance-Expanding-Access-to-U-S-Defense-Contracts-and-Accelerating-Federal-Growth-Strategy.html,2026-04-04T23:39:00Z,news_page_2.json,2026-04-06 00:28:10.615,1.0,json,news_page_2.json,,,,,,,json,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMMS opens new opportunities in U.S. defense contracts and accelerates federal expansion....,unknown,,92,123,0.92,CMMS opens new opportunities in U.S. defense contracts and accelerates federal expansion....,json,92.0,,,unknown,0.92,1.0
