title,category,document_type,published_year,year,language,rating_score,keyword_score,phrase_match,similarity_score,semantic_similarity_score,keyword_rank,semantic_rank,rrf_score,search_type,record_id,id,result_key,semantic_document,rank,document
"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,,,unknown,2.6,2.0,False,,0.4034358859062195,1.0,3.0,0.032266,hybrid,17.0,,record_17,"Title: Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally | Content: Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also… | Category: news_api | Document type: news_api | Source: the times of india | Language: unknown",,
AI Market Growth,business,excel,2026.0,,unknown,7.0,1.0,False,,0.4852405786514282,13.0,2.0,0.029828,hybrid,53.0,,record_53,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,,
"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,,,unknown,2.28,2.0,False,,0.24965178966522217,2.0,22.0,0.028324,hybrid,9.0,,record_9,"Title: Nvidia preparing Groq chips that can be sold in Chinese market, sources say | Content: Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week. | Category: news_api | Document type: news_api | Source: the times of india | Language: unknown",,
"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,,,unknown,2.6,1.0,False,,0.49921345710754395,30.0,1.0,0.027505,hybrid,148.0,,record_148,"Title: Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories | Content: Generative AI is moving from concept to commercial deployment, reshaping the global technology supply chain. It is shifting from a productivity tool to a core enterprise infrastructure. At the same time, layoffs are accelerating across Silicon Valley tech fir… | Category: json | Document type: json | Source: digitimes | Language: unknown",,
"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,,,unknown,2.6,1.0,False,,0.24712765216827393,24.0,24.0,0.02381,hybrid,3.0,,record_3,"Title: GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here | Content: The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex… | Category: news_api | Document type: news_api | Source: the times of india | Language: unknown",,
Untitled record,pdf,pdf,,,unknown,10.0,1.0,False,,,3.0,,0.015873,hybrid,46.0,,record_46,,,
Untitled record,pdf,pdf,,,unknown,10.0,1.0,False,,,4.0,,0.015625,hybrid,78.0,,record_78,,,
Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout,json,json,,0.0,unknown,1.41,,,0.38890278339385986,,,4.0,0.015625,hybrid,,record_690,record_690,,4.0,"Title: Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout | Content: Many employees are refusing to use AI tools, with some even admitting to tampering with performance reviews to make AI appear less effective. | Category: json | Document type: json | Source: fortune | Language: unknown"
Untitled record,pdf,pdf,,,unknown,10.0,1.0,False,,,5.0,,0.015385,hybrid,110.0,,record_110,,,
"US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms",json,json,,0.0,unknown,2.6,,,0.3847121000289917,,,5.0,0.015385,hybrid,,record_1209,record_1209,,5.0,"Title: US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms | Content: The US State Department is urging global attention to Chinese firms, including DeepSeek, accused of stealing AI intellectual property. A diplomatic cable details concerns over ""adversaries' extraction and distillation of U.S. A.I. models,"" aiming to counter l… | Category: json | Document type: json | Source: the times of india | Language: unknown"
