rank,title,category,document_type,year,language,rating_score,similarity_score,document,search_type,id
1,"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,0,unknown,2.6,0.49921345710754395,"Title: Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories | Content: Generative AI is moving from concept to commercial deployment, reshaping the global technology supply chain. It is shifting from a productivity tool to a core enterprise infrastructure. At the same time, layoffs are accelerating across Silicon Valley tech fir… | Category: json | Document type: json | Source: digitimes | Language: unknown",semantic,record_148
2,AI Market Growth,business,excel,2026,unknown,7.0,0.4852405786514282,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,semantic,record_53
3,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,0,unknown,2.6,0.4034358859062195,"Title: Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally | Content: Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also… | Category: news_api | Document type: news_api | Source: the times of india | Language: unknown",semantic,record_17
4,Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout,json,json,0,unknown,1.41,0.38890278339385986,"Title: Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout | Content: Many employees are refusing to use AI tools, with some even admitting to tampering with performance reviews to make AI appear less effective. | Category: json | Document type: json | Source: fortune | Language: unknown",semantic,record_690
5,"US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms",json,json,0,unknown,2.6,0.3847121000289917,"Title: US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms | Content: The US State Department is urging global attention to Chinese firms, including DeepSeek, accused of stealing AI intellectual property. A diplomatic cable details concerns over ""adversaries' extraction and distillation of U.S. A.I. models,"" aiming to counter l… | Category: json | Document type: json | Source: the times of india | Language: unknown",semantic,record_1209
6,US orders global warning over alleged AI theft by DeepSeek and Chinese firms,json,json,0,unknown,1.72,0.3612598180770874,"Title: US orders global warning over alleged AI theft by DeepSeek and Chinese firms | Content: The US is urging allies to address what it calls Chinese efforts to replicate American AI models, spotlighting DeepSeek and escalating tensions ahead of a Trump-Xi meeting. | Category: json | Document type: json | Source: the indian express | Language: unknown",semantic,record_1204
7,AI-Driven school expanding to major US cities despite union pushback,json,json,0,unknown,1.71,0.3514195680618286,"Title: AI-Driven school expanding to major US cities despite union pushback | Content: Alpha Schools is expanding its AI-driven model nationwide this fall, but researchers say the approach is untested and Pennsylvania rejected its charter school application. | Category: json | Document type: json | Source: fox news | Language: unknown",semantic,record_188
8,SoftServe Launches New Brand Identity: ‘Technology Elevated’,json,json,0,unknown,2.6,0.339280366897583,"Title: SoftServe Launches New Brand Identity: ‘Technology Elevated’ | Content: New brand reflects belief that technology can do more than just work, it can elevate anything AUSTIN, Texas, April 08, 2026 (GLOBE NEWSWIRE) — SoftServe, a digital engineering and technology services company specializing in AI, data, and cloud solutions, toda… | Category: json | Document type: json | Source: financial post | Language: unknown",semantic,record_433
9,Govt forms panel under SBI chief to assess risks from AI platform Mythos,json,json,0,unknown,1.55,0.31472325325012207,"Title: Govt forms panel under SBI chief to assess risks from AI platform Mythos | Content: Govt forms panel led by SBI chief to assess risks from Mythos AI, as regulators warn of potential cyber threats to banking systems and financial stability. | Category: json | Document type: json | Source: businessline | Language: unknown",semantic,record_1214
10,Moving up the value chain proves costly as tech majors and GCCs slash jobs,json,json,0,unknown,2.6,0.31354689598083496,"Title: Moving up the value chain proves costly as tech majors and GCCs slash jobs | Content: Global layoffs are intensifying across large tech firms and global capability centres in India, as companies like Oracle, Cisco, Amazon and Meta trim headcounts amid AI-driven strategies. Having moved from offshore support to core global roles, Indian workers… | Category: json | Document type: json | Source: the times of india | Language: unknown",semantic,record_951
